date,open,high,low,close,volume
2021-07-27,7.539999961853027,7.75,5.940000057220459,6.289999961853027,25583800
2021-07-28,6.309999942779541,6.710000038146973,5.840000152587891,6.369999885559082,30846000
2021-07-29,6.519999980926514,7.389999866485596,6.519999980926514,7.190000057220459,4721434
2021-07-30,7.190000057220459,7.380000114440918,6.599999904632568,7.0,12481387
2021-08-02,7.0,7.099999904632568,6.769999980926514,6.960000038146973,4597000
2021-08-03,7.0,7.119999885559082,6.699999809265137,7.0,6054000
2021-08-04,7.130000114440918,7.130000114440918,6.849999904632568,7.0,4775000
2021-08-05,6.840000152587891,6.980000019073486,6.610000133514404,6.710000038146973,6159000
2021-08-06,6.699999809265137,6.71999979019165,6.090000152587891,6.269999980926514,14275322
2021-08-09,6.269999980926514,6.349999904632568,6.03000020980835,6.119999885559082,7444944
2021-08-10,6.5,6.5,6.5,6.5,8866400
2021-08-11,6.610000133514404,6.840000152587891,6.460000038146973,6.760000228881836,7578560
2021-08-12,6.760000228881836,6.849999904632568,6.590000152587891,6.71999979019165,6279000
2021-08-13,6.880000114440918,6.880000114440918,6.199999809265137,6.340000152587891,6704000
2021-08-16,6.510000228881836,7.28000020980835,6.510000228881836,7.0,16673248
2021-08-17,6.900000095367432,7.099999904632568,6.78000020980835,7.050000190734863,9770000
2021-08-18,6.980000019073486,7.139999866485596,6.900000095367432,7.050000190734863,4219222
2021-08-19,7.099999904632568,7.800000190734863,7.099999904632568,7.78000020980835,19145670
2021-08-20,7.659999847412109,7.800000190734863,7.25,7.679999828338623,13604588
2021-08-23,7.860000133514404,8.289999961853027,7.679999828338623,7.900000095367432,14669000
2021-08-24,7.909999847412109,8.09000015258789,7.5,7.760000228881836,9029000
2021-08-25,7.880000114440918,8.050000190734863,7.630000114440918,8.0,8408000
2021-08-26,8.0,8.0,7.440000057220459,7.699999809265137,8993000
2021-08-27,7.519999980926514,7.75,7.449999809265137,7.710000038146973,3920000
2021-08-30,7.769999980926514,7.889999866485596,7.550000190734863,7.690000057220459,5102000
2021-08-31,7.769999980926514,7.880000114440918,7.539999961853027,7.809999942779541,10031200
2021-09-01,7.809999942779541,7.920000076293945,7.25,7.320000171661377,12347000
2021-09-02,7.429999828338623,7.690000057220459,7.28000020980835,7.650000095367432,9128000
2021-09-03,7.829999923706055,7.889999866485596,7.599999904632568,7.809999942779541,19865000
2021-09-06,8.0,8.579999923706055,7.730000019073486,7.96999979019165,31440000
2021-09-07,8.029999732971191,8.380000114440918,7.96999979019165,8.260000228881836,17860000
2021-09-08,8.260000228881836,8.449999809265137,7.900000095367432,7.960000038146973,13041462
2021-09-09,7.960000038146973,8.25,7.900000095367432,8.119999885559082,9483180
2021-09-10,8.119999885559082,8.180000305175781,7.800000190734863,7.860000133514404,7475000
2021-09-13,8.0,8.0,7.179999828338623,7.349999904632568,12972000
2021-09-14,7.389999866485596,7.460000038146973,7.0,7.070000171661377,8161000
2021-09-15,7.070000171661377,7.150000095367432,6.630000114440918,6.71999979019165,12181000
2021-09-16,6.71999979019165,6.900000095367432,6.300000190734863,6.900000095367432,15127000
